feature,dim,pearson_r,spearman_r
content_heading_hierarchy_score,content,0.617291919684143,0.5851453689551319
content_h1_unique,content,0.5698820862998755,0.5782495639661073
trust_has_pricing,trust,0.5414306443868772,0.5419860653426579
trust_testimonials,trust,0.5282244323334253,0.5281143100962986
ux_cta_total,ux,0.5093024719874032,0.6010227223053182
content_value_prop_detected,content,0.5061555978914146,0.5111694832441909
content_paragraph_length_std,content,0.48400126981535696,0.57726447378494
tech_pagespeed_mobile,technical,0.46780754602830776,0.45835787062962036
trust_client_logos,trust,0.41444992918607243,0.4000112425456964
ux_has_hero_section,ux,0.3906252733989564,0.3961145923085421
content_word_count,content,0.3515413380306441,0.5232341666560661
tech_tbt_seconds,technical,-0.27217741531885953,-0.23825590310573827
ux_cta_above_fold,ux,0.25632214712425333,0.3183132972553465
content_h1_count,content,0.2554653694512262,0.48263939075057527
trust_has_video,trust,0.25208765363727564,0.2590791538745718
trust_privacy_link,trust,0.23260672470237867,0.23359207829449072
tech_lcp_seconds,technical,-0.18924962177226062,-0.3193545507026825
tech_cls,technical,-0.17559632410452272,-0.041003427793314735
tech_schema_markup,technical,0.16738116448879942,0.1714461505765535
trust_email_visible,trust,0.1587557048155315,0.16057189316607087
trust_social_proof_count,trust,0.15674511659247958,0.17972763570929212
ux_form_field_count,ux,0.14882641807146227,0.17342523663197998
content_avg_sentence_length,content,-0.1389179726819803,-0.030839105503354784
content_flesch_kincaid_grade,content,-0.1373341612028607,-0.26836340895693495
content_flesch_reading_ease,content,0.1365534006837828,0.26645728381361933
tech_pagespeed_desktop,technical,0.13053587792295002,0.1750673680664741
trust_social_link_count,trust,0.11925554807844047,0.2034743881689111
tech_alt_text_coverage,technical,0.09157003283402686,0.02680215992026718
ux_whitespace_ratio,ux,-0.09075915928837332,0.09664509433388548
tech_external_css_count,technical,0.07915702214596725,0.038676912903526865
tech_https,technical,0.06795989863430586,0.05609522003484308
ux_total_links,ux,0.06775463468669464,0.15846155151476327
trust_phone_visible,trust,0.04150528767962028,0.04189089165859446
trust_address_visible,trust,0.03646341374381742,0.034050501318673626
ux_image_text_ratio,ux,-0.033771812158109746,0.19021389141409292
ux_nav_link_count,ux,-0.03225052363489491,0.10098281958149603
ux_responsive_breakpoints,ux,0.025120045686965735,0.02771201259646466
content_meta_description_length,content,0.023428062905985227,0.11106805262020718
tech_page_size_kb,technical,-0.019959660048067596,-0.06678955905888552
ux_viewport_meta,ux,,
tech_external_js_count,technical,,
